msno,churn_proba,risk_tier,rank
FEbhnx43WgdtB1WiJTW58y6lBAaBPWQ087TCqcQjUSg=,0.999946,high,1
qm5PBi2Qa/pddgPmmMB1Yl8qmJAgdW8jMQP58YBZP+g=,0.999942,high,2
aPjC5wEeOv7wIl3frl8gvF5q6fsdKE7tDAC0l0j82WE=,0.999931,high,3
3V7reBDv6Wr1LRQ78JvsVaK3FMWOOB91+3volQEAAWA=,0.99993,high,4
OOszdzx9WjPoynUFJwZsO60/gtUHFsCHq9XW2vXkqzE=,0.999929,high,5
9RsWNySsy1B6opp8g3kJmvIY2AkHk6g3DzgI6uy2h+A=,0.999907,high,6
t79Xqh0WmoZ/fbNm+yuLhsA4qmJgxEeqw12yqIPyHGk=,0.999905,high,7
dE7RKpHTsZfgRGFf1j9nfPqpIWEFd0uZtCWNwqGtT9U=,0.999904,high,8
Beo9dRgY+0iTmjqwTMfhl/+E2n2lDwah1ud4eBTuKp4=,0.999893,high,9
teObVR9fWI9KtV/5to0+mJc7xXt1vlHZpV9xAfO989w=,0.999891,high,10
RyLB/i8oNq9F8uzaWGX/l7CBhHePfqjGTI4YfjO7lbk=,0.999887,high,11
mrzi0K8A+fCN+LiWXhRLMhd+GbxSIUWNdjAP2/J3Hxk=,0.999884,high,12
Gt7jmYu0jRDdsPyBftZ7mDvYx+LA4EuYXkKueWkeHR8=,0.999884,high,13
WlkDSiAENxAe/jeYbk4uU5J+ajv6UFTbXFpZ2voRnCI=,0.999882,high,14
bGQ6jVCA8DsXo+5tTbhZlEMdk7565ivaWfJzBte0CCo=,0.999878,high,15
huZGDCunfTwnOHfZTWNr+ipYqEi22yIYS2lZZbB9VPE=,0.999877,high,16
znX0sTWOitsdvDN6ZinZ6IZZu3pThsp/jc9+55J47x0=,0.999877,high,17
1mU5jIEMzBqw9gHwM1GfHXjUC+wyJ/2SfBYMYbFK8QE=,0.999873,high,18
urvMTHkd17C/yE56IoVtwSoUvDqFgNSFN5ULqH6MwHc=,0.999871,high,19
BeoEzJ4Dc8B6Cmc+9vbkOm/LB30Hc377kaCQolBfMXg=,0.99987,high,20
gn3BRVWwSQY0fq4kxz/vlSAfibXZ011lGBmTYuOiYI4=,0.99987,high,21
svhfQaP8X7RP3VSMYUwzrB6oIBOFKOaXKm++QyTNEDY=,0.999869,high,22
G6NweSKsktYCHKx5eW/ixyrcApWELkknwzqKXWKZ33k=,0.999864,high,23
NUHO3hASFX2SBjjBPq3I++EZ0Pq3l15mTYpCaO4i1C8=,0.999862,high,24
ZPF1nsvApJ/6O6Bgxh7+r/3PCE6gqipvw7pSjsZiVAU=,0.999862,high,25
Q/UZYZb6BdRY/0fM6mY/8zasxDRrJztnPUqFNPo3qg4=,0.999862,high,26
m4dQr7H0XcuV0p7VnprJNxGGQ9wt5hjRjt7L7BXMvOs=,0.999861,high,27
IsL959Lr1Eg0pBmn9h9VaGpAHeQb8H53tfUguFixVlY=,0.99986,high,28
LnviNTni39sBW/V4MCX58kjmqNDrt4nxwLEg5XRn+XI=,0.999859,high,29
wFbPV6kV8i57Fh3jTpgyvbN98pMuyUus11YW7QGqK9w=,0.999856,high,30
x3SCbcK4FzDWLLdOBuhp42yMunKqgvxqRE6gjrbzA6I=,0.999856,high,31
LknU9Smvctf5EfnbTTqZ6u9cF6+HnEE9f2VWug3Bdj8=,0.999856,high,32
39LWFxJ8AVnnN2POFXbkyyFzYBstdGK/h4z9nQ/JLzw=,0.999856,high,33
p50dpRiPJ5lxdWsau3cc5sMhgtBV0gPkjqBGBjRzris=,0.999856,high,34
6DxH6sm9aV43lTjxYkh/rMJUFy5oomcoCL6/4XAIQZ4=,0.999855,high,35
gOna9uzxXqcwXdYPOQv4GkqT2yiEJwGrP9+yEeI9NgU=,0.999855,high,36
0TRQZb/hnKWFgWpWpvfo2KMMlHhuRNW4CZWISea8LKQ=,0.999853,high,37
W9ee6yL7LxInTUmjwboK2L7EBZIX43wVZtoa7woSCUw=,0.999853,high,38
FQ8gowx8/LWKfD+b5rapopJV2dRN/Y1ZXRrmJlX91dA=,0.999852,high,39
M0FDmBbKqNhl8HghXD8HukZ+8V6zwtt1Yl3V631I1HY=,0.999851,high,40
Kn8P4MqRl1Y6gqXTQj4Xv39iiw+boRpTDKYzyZDTXFw=,0.999851,high,41
q4j8V5IOF6mDLobYw310aMhc2h2dvoxNqNiyM3sPPgk=,0.999851,high,42
fBwY5J4wAB8Mmr4liDF1qSvVyT7Yxh5NlC4ZNKCoO6w=,0.99985,high,43
su5jWP0bEGngzlEs3J0bGX3JfYotAG8WndDsDBtw1I8=,0.999849,high,44
dw1nXO5HN/KVrD8AxoTSnBVdww98QdW8uDAcRUq8qu4=,0.999847,high,45
i+8n0WfyOnF1VAti0vIiZwo9IN6h4p1JH7hINlDfItw=,0.999845,high,46
9WhSdB28/QzbkKF+OOGiJu/3apfUzoqjysCpNWglU7M=,0.999844,high,47
+QFum9BvBvz2U2PBVUFvv1qWVHOnpScRSruipNgDNCs=,0.999844,high,48
q2IVgpwXSobC66/U6CtOu8HwmlGw+l7TZLIsOxIgtfY=,0.999843,high,49
u/E4/R+TR1E0DcMSidxEjq9jSNIT5UFIPDr/FTh2IbQ=,0.999842,high,50
9UEXYItALBfZlulC/WheEe7hXQIgzT3GAEO5r3tayx4=,0.999842,high,51
qNNXiUKUHHyMyInK7eCmFDjs5nIeTjOzhglA5EfJTSc=,0.999842,high,52
rQmjXpizi7X1B4WWXyFarphjNMUtgxKQIb+XjJJxMvw=,0.999841,high,53
csJxjv6B4q2lHO5xTK4yPG4pLFEau8eZLOK//CtKLdA=,0.999841,high,54
SVnNkUSxWj0D66RTRgv5+dZlrsTsY524vxGFjiYiIS0=,0.999841,high,55
HuciXzN35IYDd58PxKZprts3IC2iD263naLdazc4vSc=,0.99984,high,56
0x7FMPiMdx8HJBR68jJpnImkwF6wPwRNtZ5uwQGOi5I=,0.99984,high,57
DgKlN0WtFRBRE379yqb3DNFjlLKrHFY6qzUhiwy789c=,0.99984,high,58
0E66KGZi487t5iTVNAjESTcNijE8yfng9jKUvfBG+1E=,0.999839,high,59
w7lEpONzyjhvP2RGv2tJEFtPg538txoAV3mL2NaKQxs=,0.999839,high,60
0are36iWwG4t83GNY6xPvyLh2B0odDBztCnf0K5mW7g=,0.999839,high,61
rWjDAIsk1QBR5qvBSBEhFgKfyF5Nt9z9Px3EC2LHIn8=,0.999838,high,62
SjpmIcvU+KkcoBbNixo/9llGQWUx7j0fZ/VJ88bXBQI=,0.999836,high,63
8MUGPd864AYxgbn5hSOuf+uGOctQvlSX+wABUQYRH9A=,0.999833,high,64
JeboyIlotvpY1tKfbmNu6egSh+Ltmf92mcbRLYWG/n4=,0.999833,high,65
MJCn4kIFmSXoPgGk5sQpUxgmcZu9XQGKXxyRko+kD5A=,0.999831,high,66
zpcGD2Lt8sCID+s++/e3WNzTfafn4XZ06mizvFsaQ+E=,0.999831,high,67
qMFQZ1n9audOy32UOH8Kg4evcs2BVDZn4NCqrEqQkVw=,0.99983,high,68
jWW5XhUdrUMKokhawyfTHJL6NxmzjPgmuxxwaz4EOtI=,0.99983,high,69
vtcD3N0knZxLXL5E2pe0s1sIoZ5Xv5gvYum9dp+VjbE=,0.999829,high,70
iK9hTLxMJ7AJvgv/Hun09AMhSWb2TDILE+qtSMoe13g=,0.999829,high,71
bB7EKfUxHFOSvW9ael/q/lLDD97VLUyITHhQ14cUceM=,0.999829,high,72
IvyMed45C01YfnKCOhrklmxPk5y8dVFnNaxGisn+lAg=,0.999828,high,73
GB6GIvLftRU2RfdvSXRE8WwA3bly44ri259bBpi/F4g=,0.999828,high,74
ehbbdVX4SibcFcyH0qcFEDTlSF4d4QCwSCFWnJzHiLs=,0.999826,high,75
qPl4T/xs5gLcEMDSj5NZhHMxUTwrvyGW3VoguB5AC6M=,0.999826,high,76
R98aAdBJCRGORcdKOhLPicm4DdRnlFivF4FfCoob1iI=,0.999825,high,77
5Wlcrbf1pZxweF6a2R8zxpj4sTdrv4ZL/OKp7lKtS2A=,0.999825,high,78
A2w+liNe16EvSz4k1OqPkAraxNPT/F2Hd2XLwf/df2A=,0.999824,high,79
